tipo;bairro;valor;area;quartos;vagas;suites;banheiros;latitude;longitude;regiao;valor
APARTAMENTO;MEIRELES;3957672.0;254.0;4;5.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;15.191166784248058
APARTAMENTO;MEIRELES;3561329.14;271.0;5;5.0;4.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;15.085644667875561
APARTAMENTO;MEIRELES;3490000.0;231.0;4;4.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;15.06541258071152
APARTAMENTO;MEIRELES;2750000.0;202.0;4;4.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;14.827111833279051
APARTAMENTO;MEIRELES;2600000.0;265.0;5;6.0;5.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;14.77102238760702
APARTAMENTO;JOSÉ BONIFÁCIO;2500000.0;544.0;6;6.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 4;14.731801689838349
APARTAMENTO;MEIRELES;2490000.0;460.0;4;5.0;4.0;6.0;-3.7460584;-38.4616513;REGIONAL 2;14.727793670047236
APARTAMENTO;MEIRELES;2450000.0;260.0;3;4.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;14.711598990684092
APARTAMENTO;COCÓ;2450000.0;240.0;4;4.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 7;14.711598990684092
APARTAMENTO;ALDEOTA;2400000.0;163.0;4;3.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;14.690979711984754
APARTAMENTO;MEIRELES;2100000.0;166.0;3;3.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;14.557448378884015
APARTAMENTO;LUCIANO CAVALCANTE;1600000.0;172.0;3;3.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 7;14.285514812209815
APARTAMENTO;GUARARAPES;1495000.0;146.0;3;3.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;14.217637433703022
APARTAMENTO;MUCURIPE;1476000.0;164.0;3;2.0;3.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;14.2048469616491
APARTAMENTO;MUCURIPE;1476000.0;86.0;2;2.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;14.2048469616491
APARTAMENTO;MANUEL DIAS BRANCO;1350000.0;145.0;3;3.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;14.115615891155079
APARTAMENTO;MEIRELES;1300000.0;113.0;4;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;14.077875591662238
APARTAMENTO;ALDEOTA;1300000.0;201.0;3;4.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;14.077875591662238
APARTAMENTO;COCÓ;1300000.0;107.0;3;3.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;14.077875591662238
APARTAMENTO;COCÓ;1300000.0;108.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;14.077875591662238
APARTAMENTO;MEIRELES;1200000.0;210.0;3;3.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.997832948091215
APARTAMENTO;CAJAZEIRAS;1350000.0;553.0;6;8.0;6.0;8.0;-3.7460584;-38.4616513;REGIONAL 9;14.115615891155079
APARTAMENTO;ALDEOTA;1095000.0;393.0;3;3.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;13.90626583447433
APARTAMENTO;ALDEOTA;1093000.0;117.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.90443768207134
APARTAMENTO;ALDEOTA;1093000.0;117.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.90443768207134
APARTAMENTO;ALDEOTA;1093000.0;117.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.90443768207134
APARTAMENTO;ALDEOTA;1053000.0;112.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.867154740783278
APARTAMENTO;GUARARAPES;1050000.0;90.0;3;2.0;2.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;13.864301674514206
APARTAMENTO;DIONÍSIO TORRES;1000000.0;174.0;4;3.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;13.815511557963774
APARTAMENTO;LUCIANO CAVALCANTE;986887.13;119.0;4;3.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 7;13.802311968526718
APARTAMENTO;COCÓ;960000.0;81.0;2;2.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;13.774689605110144
APARTAMENTO;COCÓ;950000.0;98.0;2;2.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 7;13.76421831620775
APARTAMENTO;MEIRELES;920000.0;108.0;2;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;13.732130035981154
APARTAMENTO;DE LOURDES;920000.0;100.0;2;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;13.732130035981154
APARTAMENTO;ALDEOTA;1100000.0;149.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.910821646859095
APARTAMENTO;MEIRELES;891932.93;56.0;2;1.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 2;13.701147339312138
APARTAMENTO;EDSON QUEIROZ;890000.0;91.0;3;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;13.698977865303197
APARTAMENTO;PRAIA DO FUTURO I;890000.0;352.0;5;3.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 7;13.698977865303197
APARTAMENTO;EDSON QUEIROZ;880000.0;278.0;5;4.0;5.0;6.0;-3.7460584;-38.4616513;REGIONAL 7;13.68767832281738
APARTAMENTO;COCÓ;850000.0;100.0;2;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;13.652992804936396
APARTAMENTO;GUARARAPES;835000.0;90.0;3;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;13.635188201437066
APARTAMENTO;MEIRELES;832250.98;56.0;2;1.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 2;13.631890534527262
APARTAMENTO;MEIRELES;832250.98;57.0;2;1.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 2;13.631890534527262
APARTAMENTO;TAUAPE;800000.0;446.0;5;2.0;5.0;6.0;-3.7460584;-38.4616513;REGIONAL 2;13.592368256649284
APARTAMENTO;MEIRELES;790000.0;203.0;4;4.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;13.579789490265188
APARTAMENTO;MEIRELES;785000.0;248.0;5;4.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;13.573440270649085
APARTAMENTO;ALDEOTA;785000.0;154.0;5;2.0;4.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;13.573440270649085
APARTAMENTO;CIDADE DOS FUNCIONÁRIOS;750000.0;126.0;6;3.0;4.0;4.0;-3.7460584;-38.4616513;REGIONAL 6;13.527829818844937
APARTAMENTO;MEIRELES;750000.0;149.0;4;2.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 2;13.527829818844937
APARTAMENTO;MUCURIPE;750000.0;86.0;2;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;13.527829818844937
APARTAMENTO;PAPICU;780000.0;198.0;3;4.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;13.567050480716235
APARTAMENTO;ALDEOTA;730000.0;171.0;3;3.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.500801182986649
APARTAMENTO;MEIRELES;920000.0;143.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.732130035981154
APARTAMENTO;LUCIANO CAVALCANTE;700000.0;76.0;3;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;13.45883704259595
APARTAMENTO;PARQUE IRACEMA;699000.0;89.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 6;13.457407451830088
APARTAMENTO;LUCIANO CAVALCANTE;699000.0;82.0;3;2.0;3.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;13.457407451830088
APARTAMENTO;CIDADE DOS FUNCIONÁRIOS;698000.0;156.0;3;4.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 6;13.455975814408239
APARTAMENTO;FÁTIMA;715000.0;120.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 4;13.480039220276565
APARTAMENTO;LUCIANO CAVALCANTE;690000.0;7.0;3;2.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 7;13.444448325847754
APARTAMENTO;ALDEOTA;680000.0;128.0;4;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 2;13.429849547739444
APARTAMENTO;COCÓ;650000.0;126.0;3;3.0;3.0;5.0;-3.7460584;-38.4616513;REGIONAL 7;13.384729180332174
APARTAMENTO;PRESIDENTE KENNEDY;650000.0;72.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 3;13.384729180332174
APARTAMENTO;MEIRELES;640000.0;80.0;2;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;13.369225017834633
APARTAMENTO;SALINAS;620000.0;109.0;3;2.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 7;13.3374763699232
